Geneid	Chr	Start	End	Strand	Length	data/BAM_sorted/A-B-1_sorted.bam	data/BAM_sorted/A-B-2_sorted.bam	data/BAM_sorted/A-F-1_sorted.bam	data/BAM_sorted/A-F-2_sorted.bam	data/BAM_sorted/A-R-1_sorted.bam	data/BAM_sorted/A-R-2_sorted.bam	data/BAM_sorted/M-B-1_sorted.bam	data/BAM_sorted/M-B-2_sorted.bam	data/BAM_sorted/M-F-1_sorted.bam	data/BAM_sorted/M-F-2_sorted.bam	data/BAM_sorted/M-R-1_sorted.bam	data/BAM_sorted/M-R-2_sorted.bam	data/BAM_sorted/P-1_sorted.bam	data/BAM_sorted/P-2_sorted.bam
BW25113_RS19265	NZ_CP009273.1	3878436	3880079	+	1644	20737	30762	19267	27503	19714	27543	9740	7020	9109	18774	8555	6815	14091	14487
BW25113_RS19270	NZ_CP009273.1	3880188	3881549	+	1362	2344	3384	1929	2835	1904	2598	1142	1028	1135	2413	933	1070	1933	1799
BW25113_RS19275	NZ_CP009273.1	3881795	3881866	+	72	0	3	0	3	1	6	1744	1814	1928	833	1509	5288	2172	1590
BW25113_RS19280	NZ_CP009273.1	3882090	3883502	+	1413	61	137	54	209	44	82	75707	75760	82588	67201	59647	274064	129340	112935
BW25113_RS19285	NZ_CP009273.1	3883596	3884840	+	1245	28	35	23	42	30	19	10057	10525	10578	8113	7265	35387	5561	4765
BW25113_RS19290	NZ_CP009273.1	3884975	3886147	+	1173	290	408	257	357	232	363	229	185	253	244	168	337	367	365
BW25113_RS19295	NZ_CP009273.1	3886125	3887081	+	957	485	732	487	605	485	613	363	338	396	632	320	367	553	506
BW25113_RS19300	NZ_CP009273.1	3887241	3887987	+	747	1078	1410	938	1301	819	1064	1544	1550	1570	2571	1244	2069	904	1001
BW25113_RS19305	NZ_CP009273.1	3888012	3888575	+	564	940	1141	773	988	664	919	1268	1148	1157	2095	974	1598	1096	991
BW25113_RS19310	NZ_CP009273.1	3888635	3889969	-	1335	1746	2695	1518	2215	1674	2280	507	428	554	1050	435	376	1363	1349
BW25113_RS19315	NZ_CP009273.1	3890134	3890796	+	663	218	292	182	247	213	277	152	145	172	254	121	174	266	249
BW25113_RS19320	NZ_CP009273.1	3890866	3891330	+	465	76	121	82	104	79	87	53	62	55	64	47	51	90	102
BW25113_RS19325	NZ_CP009273.1	3891382	3891966	+	585	86	113	89	95	80	85	63	68	50	84	57	90	119	114
BW25113_RS19330	NZ_CP009273.1	3892034	3892753	-	720	58	65	44	43	50	65	36	40	34	72	43	58	86	67
BW25113_RS19335	NZ_CP009273.1	3892771	3893937	-	1167	26	51	29	33	38	25	57	49	41	66	29	47	64	50
BW25113_RS19340	NZ_CP009273.1	3893967	3895580	-	1614	17	23	12	14	17	11	21	13	14	20	14	11	30	30
BW25113_RS19345	NZ_CP009273.1	3895652	3897061	-	1410	16	19	11	23	17	20	32	21	16	38	25	20	58	48
BW25113_RS19350	NZ_CP009273.1	3897083	3898957	-	1875	637	799	547	710	567	669	337	295	329	508	173	231	587	553
BW25113_RS19355	NZ_CP009273.1	3899094	3899927	-	834	10	17	5	8	6	5	41	19	25	25	27	17	13	10
BW25113_RS19360	NZ_CP009273.1	3900216	3900938	-	723	643	1096	547	968	545	824	827	726	815	1319	650	896	846	803
BW25113_RS19365	NZ_CP009273.1	3900956	3901726	-	771	696	1098	624	926	629	829	763	599	671	1025	466	697	851	796
BW25113_RS19370	NZ_CP009273.1	3901912	3902799	-	888	621	970	571	865	535	764	391	308	331	660	217	290	694	636
BW25113_RS19375	NZ_CP009273.1	3902802	3903758	-	957	445	663	374	550	393	495	238	224	249	364	192	180	586	461
BW25113_RS19380	NZ_CP009273.1	3903848	3904885	-	1038	548	872	393	753	534	614	357	269	266	503	192	237	874	806
BW25113_RS19385	NZ_CP009273.1	3905202	3907028	-	1827	29876	46093	26596	37811	24016	34590	21578	17401	18542	38813	17510	22039	26990	26506
BW25113_RS19390	NZ_CP009273.1	3907193	3908560	-	1368	16793	25016	14630	21091	13542	19256	13048	10149	11507	19672	9507	11134	14792	14541
BW25113_RS19395	NZ_CP009273.1	3908916	3909332	-	417	9327	16159	8789	13911	9512	14491	8727	8672	8391	16273	8741	9530	8367	7389
BW25113_RS19400	NZ_CP009273.1	3909356	3910735	-	1380	36362	62960	34579	52718	38504	58841	33577	33049	31466	75947	33846	35438	29152	26967
BW25113_RS19405	NZ_CP009273.1	3910765	3911625	-	861	21035	36666	19587	30401	22687	33254	17366	17665	17429	33412	18896	19427	16311	14824
BW25113_RS19410	NZ_CP009273.1	3911679	3913217	-	1539	39319	68029	37141	58127	41834	62864	30816	29606	29796	64189	33088	30898	30957	28823
BW25113_RS19415	NZ_CP009273.1	3913233	3913763	-	531	9626	17215	9018	14363	9582	15350	6797	6784	7203	15217	7648	7188	8293	7316
BW25113_RS19420	NZ_CP009273.1	3913781	3914248	-	468	16653	26136	14595	22356	16222	23591	11421	10422	11284	26014	12434	11342	13382	12201
BW25113_RS19425	NZ_CP009273.1	3914313	3914549	-	237	8314	15476	7506	13496	8808	14924	6409	6022	6285	15657	7064	6390	8256	7298
BW25113_RS19430	NZ_CP009273.1	3914599	3915411	-	813	10776	17021	9741	14246	9588	14835	6447	5888	6254	12146	6248	5661	10136	9171
BW25113_RS19435	NZ_CP009273.1	3915423	3915800	-	378	2163	3605	2074	3055	2019	2905	1405	1159	1426	2101	1086	1107	2342	2502
BW25113_RS19440	NZ_CP009273.1	3916420	3917040	-	621	1189	1583	1103	1573	1153	1452	476	409	469	794	389	419	811	797
BW25113_RS19445	NZ_CP009273.1	3917107	3918993	-	1887	4931	7407	4474	6739	4675	6279	1383	1209	1445	2850	1043	1038	3731	3722
BW25113_RS19450	NZ_CP009273.1	3919375	3919815	-	441	2671	3556	2287	3187	2276	2851	1136	1002	1170	2191	780	867	2391	2464
BW25113_RS19455	NZ_CP009273.1	3919908	3920363	-	456	273	418	258	295	205	307	190	182	170	286	180	187	207	225
BW25113_RS19460	NZ_CP009273.1	3920515	3921504	+	990	6831	13023	7104	11798	4392	10774	3199	2102	2579	5265	2791	1540	2037	1915
BW25113_RS19465	NZ_CP009273.1	3921515	3922963	-	1449	1829	2682	1486	2161	1325	2146	2083	1777	1910	3191	1866	2482	2004	2113
BW25113_RS19470	NZ_CP009273.1	3922960	3924453	-	1494	2687	4204	2168	3209	2025	3012	4330	4283	3934	7753	4107	5441	3764	3368
BW25113_RS19475	NZ_CP009273.1	3924676	3926541	+	1866	2718	4115	2170	3330	2102	3165	852	755	853	1770	695	761	2410	2353
BW25113_RS19480	NZ_CP009273.1	3926711	3927127	+	417	269	467	262	406	317	459	6366	5919	6106	6680	5566	7004	1890	1816
BW25113_RS19485	NZ_CP009273.1	3927138	3928640	+	1503	866	1578	852	1315	865	1485	17692	15192	17228	27086	15566	18580	6249	5880
BW25113_RS19490	NZ_CP009273.1	3928648	3929610	+	963	767	1436	856	1333	755	1476	14185	12651	13359	22731	12018	16270	6978	6625
BW25113_RS19495	NZ_CP009273.1	3929638	3930525	+	888	952	1880	1005	1685	1057	1889	25648	23039	23139	28124	20125	42929	16310	15190
BW25113_RS19500	NZ_CP009273.1	3930654	3931580	+	927	1058	1863	1097	1563	1028	1733	9370	9113	8704	11002	7670	14008	5440	4984
BW25113_RS19505	NZ_CP009273.1	3931587	3932576	+	990	162	260	165	224	152	250	795	717	668	879	543	789	440	432
BW25113_RS19510	NZ_CP009273.1	3932548	3933972	-	1425	458	639	401	493	358	447	502	488	514	686	396	623	724	735
BW25113_RS19515	NZ_CP009273.1	3933998	3934687	-	690	1405	1950	1051	1453	1084	1515	1607	1548	1647	2341	1389	2273	2335	2064
BW25113_RS19550	NZ_CP009273.1	3940491	3941327	-	837	544	780	576	722	619	764	728	655	686	904	682	1003	831	820
BW25113_RS19555	NZ_CP009273.1	3941446	3941781	+	336	2369	3832	1929	3419	2233	3576	1467	1582	1649	2849	1823	1472	2244	1903
BW25113_RS19560	NZ_CP009273.1	3941812	3943329	-	1518	281	371	231	334	269	323	177	174	205	406	161	161	208	192
BW25113_RS19565	NZ_CP009273.1	3943682	3943777	+	96	23	39	17	44	37	44	49	33	35	36	31	45	35	39
BW25113_RS25785	NZ_CP009273.1	3943867	3943914	+	48	0	0	0	1	1	0	0	0	0	1	0	0	1	0
BW25113_RS19570	NZ_CP009273.1	3943920	3945561	+	1642	720	1170	678	958	795	1082	885	780	874	1293	664	1306	707	680
BW25113_RS19575	NZ_CP009273.1	3945561	3945821	+	261	17	31	13	27	18	19	12	1	7	27	6	24	13	13
BW25113_RS19580	NZ_CP009273.1	3945844	3946770	+	927	468	685	388	495	422	609	658	680	702	1201	612	945	603	610
BW25113_RS19585	NZ_CP009273.1	3946838	3948685	+	1848	696	1160	692	888	681	971	1129	910	999	1727	916	1437	917	859
BW25113_RS19590	NZ_CP009273.1	3948691	3950232	+	1542	574	857	497	724	450	746	670	513	663	1050	575	845	723	760
BW25113_RS19595	NZ_CP009273.1	3950290	3951180	-	891	525	713	433	579	466	656	631	504	534	1060	542	607	563	533
BW25113_RS19600	NZ_CP009273.1	3951330	3952802	+	1473	285	438	233	318	260	295	562	577	545	1323	504	509	368	389
BW25113_RS19605	NZ_CP009273.1	3952895	3953173	-	279	843	1151	693	838	672	976	492	450	456	869	469	463	575	585
BW25113_RS25790	NZ_CP009273.1	3953375	3953820	-	446	116	135	86	117	106	138	148	141	142	172	125	178	123	113
BW25113_RS19615	NZ_CP009273.1	3954037	3956055	+	2019	2062	2878	1761	2629	1804	2249	760	665	669	1412	526	590	1744	1681
BW25113_RS19620	NZ_CP009273.1	3956108	3957589	-	1482	4367	6207	4109	5459	3944	5403	3533	3017	3377	5233	3029	3533	3632	3645
BW25113_RS19625	NZ_CP009273.1	3957728	3958990	-	1263	9447	13509	8824	11522	8861	12171	7882	6322	7335	12077	6619	8129	7693	7406
BW25113_RS19630	NZ_CP009273.1	3959121	3959447	+	327	5822	7829	4886	6394	5105	6824	4755	3903	4223	6868	4366	4827	5029	5175
BW25113_RS19635	NZ_CP009273.1	3959591	3959689	+	99	3073	3924	3049	3157	3057	3245	1217	1111	1206	1105	915	859	1805	1647
BW25113_RS19640	NZ_CP009273.1	3959777	3961033	+	1257	29032	41549	28188	38538	29068	37061	11677	9666	12606	25066	10524	7792	17109	16445
BW25113_RS19650	NZ_CP009273.1	3961276	3962376	+	1101	7458	11006	6752	9669	6816	9554	4067	3208	3739	6826	3483	3879	5048	5037
BW25113_RS19655	NZ_CP009273.1	3962391	3963434	+	1044	3711	5623	3273	4959	3441	4995	1750	1382	1704	2687	1572	1605	2457	2300
BW25113_RS19660	NZ_CP009273.1	3963493	3964620	+	1128	4112	6356	3674	5504	3920	5344	1608	1281	1714	3031	1435	1274	2207	2204
BW25113_RS19665	NZ_CP009273.1	3964620	3965879	+	1260	4432	6634	3977	5872	4270	5942	2059	1623	2109	4570	1988	1537	1982	1913
BW25113_RS19670	NZ_CP009273.1	3965882	3966946	+	1065	4081	6029	3670	5154	3811	5112	1977	1585	2114	4402	2085	1350	1595	1619
BW25113_RS19675	NZ_CP009273.1	3966968	3967846	+	879	2304	3753	2161	3351	2331	3199	1191	1094	1399	2867	1395	993	1100	993
BW25113_RS19680	NZ_CP009273.1	3967827	3968498	+	672	1192	1883	1155	1601	1189	1638	685	607	705	1458	713	537	504	451
BW25113_RS19685	NZ_CP009273.1	3968506	3969633	+	1128	3261	4842	2980	4164	3040	4312	2382	1996	2462	5358	2486	2135	1638	1584
BW25113_RS19690	NZ_CP009273.1	3969638	3970885	+	1248	1636	2439	1518	2281	1608	2178	1085	881	1059	1863	912	791	786	836
BW25113_RS19695	NZ_CP009273.1	3970885	3971961	+	1077	1025	1668	1085	1507	1127	1486	706	603	649	1115	618	594	642	600
BW25113_RS19700	NZ_CP009273.1	3971961	3973310	+	1350	983	1363	933	1421	1001	1333	515	350	491	898	436	394	460	441
BW25113_RS19705	NZ_CP009273.1	3973316	3974053	+	738	820	1106	731	1016	729	1031	487	375	484	880	415	462	415	421
BW25113_RS19710	NZ_CP009273.1	3974247	3975629	+	1383	627	871	673	790	570	723	527	435	506	714	508	581	457	395
BW25113_RS19735	NZ_CP009273.1	3976318	3977550	+	1233	91	118	75	120	74	125	204	176	184	362	160	211	139	155
BW25113_RS19740	NZ_CP009273.1	3977715	3979367	-	1653	102	118	67	91	72	99	129	125	110	170	93	136	123	120
BW25113_RS19745	NZ_CP009273.1	3980049	3981242	-	1194	2200	3061	1772	2541	1825	2504	2280	1912	2067	3372	1842	2767	2274	2258
BW25113_RS19750	NZ_CP009273.1	3981248	3982426	-	1179	1715	2333	1379	2004	1537	2126	1910	1681	1863	2904	1755	2319	2224	1921
BW25113_RS19755	NZ_CP009273.1	3982451	3983188	-	738	1073	1568	995	1326	986	1354	1410	1235	1283	2137	1136	1709	1354	1256
BW25113_RS19760	NZ_CP009273.1	3983188	3984126	-	939	2978	4147	2664	3420	2555	3627	4934	4077	4617	8126	4164	6200	3920	3820
BW25113_RS19765	NZ_CP009273.1	3984513	3987056	+	2544	8535	11694	7413	9928	7954	10165	4560	3900	4404	6919	3601	4900	11758	11136
BW25113_RS19770	NZ_CP009273.1	3987102	3987419	-	318	556	810	450	659	472	722	541	407	442	759	508	559	587	588
BW25113_RS26255	NZ_CP009273.1	3987584	3987723	-	140	32	58	31	39	20	24	49	39	44	40	25	43	39	36
BW25113_RS19775	NZ_CP009273.1	3987882	3988082	+	201	1196	1700	954	1232	1045	1367	1825	1666	1662	1959	1628	1995	1356	1330
BW25113_RS19780	NZ_CP009273.1	3988122	3988943	+	822	2274	3611	1988	3036	2142	3191	3538	3047	3236	5738	2967	3946	3235	3039
BW25113_RS19785	NZ_CP009273.1	3988943	3989647	+	705	1537	2444	1323	2028	1218	2025	2114	1344	1905	2899	1623	2406	2090	1966
BW25113_RS19790	NZ_CP009273.1	3989647	3990540	+	894	1579	2508	1501	2113	1652	2190	2008	1732	1927	2773	1696	2465	2065	2098
BW25113_RS19795	NZ_CP009273.1	3990543	3991256	+	714	1154	1633	1044	1320	1089	1476	1058	841	995	1761	919	1195	1069	1076
BW25113_RS19800	NZ_CP009273.1	3991343	3993502	+	2160	3966	5896	3437	5150	3083	4526	2589	1976	2386	4922	1648	1892	4087	4026
BW25113_RS19805	NZ_CP009273.1	3993655	3994416	-	762	101	130	95	111	74	100	78	62	71	101	46	79	98	70
BW25113_RS26260	NZ_CP009273.1	3994578	3994631	+	54	75	112	69	87	47	84	40	32	24	44	25	46	60	45
BW25113_RS19815	NZ_CP009273.1	3994786	3995733	+	948	826	1429	842	1260	780	1009	320	260	310	640	233	281	496	427
BW25113_RS19820	NZ_CP009273.1	3995782	3996159	-	378	35	44	36	51	35	45	13	12	19	16	16	11	27	33
BW25113_RS19825	NZ_CP009273.1	3996176	3996589	-	414	10	8	7	15	7	7	5	4	4	3	3	4	14	11
BW25113_RS19830	NZ_CP009273.1	3996651	3997538	-	888	216	304	226	277	236	263	151	95	137	206	81	153	328	265
BW25113_RS19835	NZ_CP009273.1	3997593	3998057	-	465	34	49	13	30	19	38	44	55	55	69	67	65	65	68
BW25113_RS19840	NZ_CP009273.1	3998222	3999088	+	867	1529	2231	1376	1955	1423	1882	773	581	764	1327	649	617	1482	1460
BW25113_RS19845	NZ_CP009273.1	3999224	4001050	+	1827	2697	3881	2237	3207	2336	3222	1262	853	1212	2471	1004	846	2501	2571
BW25113_RS19850	NZ_CP009273.1	4001117	4001734	+	618	321	481	300	370	300	440	348	275	296	448	251	376	528	557
BW25113_RS19855	NZ_CP009273.1	4001802	4002419	-	618	99	157	101	135	106	112	125	118	113	207	104	146	182	143
BW25113_RS19860	NZ_CP009273.1	4002530	4003549	+	1020	1422	1791	1075	1506	1209	1495	1344	1137	1171	1987	999	1351	1845	1790
BW25113_RS19865	NZ_CP009273.1	4003560	4004357	+	798	695	935	606	718	602	835	656	559	563	910	548	765	1023	1059
BW25113_RS19870	NZ_CP009273.1	4004436	4005332	+	897	593	1118	738	1136	680	1178	774	534	596	927	574	629	477	505
BW25113_RS19875	NZ_CP009273.1	4005226	4006176	-	951	103	128	76	98	67	146	93	103	124	183	106	127	116	91
BW25113_RS19880	NZ_CP009273.1	4006413	4008671	+	2259	238	408	186	299	199	281	348	443	433	670	295	623	671	624
BW25113_RS19885	NZ_CP009273.1	4008717	4009529	-	813	107	240	108	180	169	214	251	241	198	333	239	317	349	319
BW25113_RS19890	NZ_CP009273.1	4009791	4010549	+	759	9603	14106	7737	11397	8249	11607	28623	30536	26380	52511	23388	38684	16543	15212
BW25113_RS19895	NZ_CP009273.1	4010693	4012117	+	1425	807	1394	850	1153	740	1053	2373	2205	2500	3818	2178	2754	1167	1115
BW25113_RS19900	NZ_CP009273.1	4012215	4012967	+	753	3344	4726	3007	3947	3139	4181	5949	5537	6091	10833	5719	7130	4104	4117
BW25113_RS19905	NZ_CP009273.1	4012984	4013586	+	603	1378	2192	1250	1947	1275	1835	2544	2483	2608	5231	2484	3307	1968	1887
BW25113_RS19910	NZ_CP009273.1	4013586	4015223	+	1638	1970	2680	1766	2527	1895	2478	2820	2291	2534	3673	2525	3049	1984	1970
BW25113_RS19915	NZ_CP009273.1	4015305	4015571	+	267	1882	2763	1651	2457	1783	2583	1997	1826	1870	2876	1893	2530	2022	1812
BW25113_RS19920	NZ_CP009273.1	4015578	4016090	+	513	2529	3644	2177	3247	2301	3022	2305	2069	2165	4077	2058	2579	2263	2314
BW25113_RS19925	NZ_CP009273.1	4016096	4016869	+	774	2715	3929	2301	3662	2411	3357	1923	1747	1813	3702	1677	2058	2398	2334
BW25113_RS19930	NZ_CP009273.1	4016914	4017693	+	780	653	981	559	832	582	730	593	552	539	1327	513	550	517	502
BW25113_RS19935	NZ_CP009273.1	4017696	4018181	-	486	520	813	437	655	546	553	267	236	275	425	141	206	385	410
BW25113_RS19940	NZ_CP009273.1	4018348	4019838	+	1491	2774	4008	2487	3364	2654	3320	5286	4187	4699	7024	4613	5758	3788	3624
BW25113_RS19945	NZ_CP009273.1	4019887	4020585	+	699	2077	2638	1792	2302	1814	2347	3630	3185	3295	5342	3152	4326	3571	3270
BW25113_RS19950	NZ_CP009273.1	4020972	4022132	-	1161	102	179	73	115	78	118	149	114	136	200	113	190	342	314
BW25113_RS19955	NZ_CP009273.1	4022145	4024331	-	2187	34	51	23	46	32	47	152	131	148	180	126	209	337	270
BW25113_RS19960	NZ_CP009273.1	4024521	4025849	+	1329	3808	5653	3369	4373	3494	4860	5617	5100	5150	9084	4861	8117	4439	4095
BW25113_RS19965	NZ_CP009273.1	4025852	4026463	+	612	487	815	456	649	460	764	600	587	656	1026	587	967	599	545
BW25113_RS19970	NZ_CP009273.1	4026505	4027953	+	1449	1808	2972	1725	2437	1833	2328	1511	1352	1434	2762	1154	1782	1738	1681
BW25113_RS19975	NZ_CP009273.1	4027968	4028510	+	543	1277	1729	1047	1576	1212	1434	1133	1080	1175	2066	1034	1396	1290	1345
BW25113_RS20005	NZ_CP009273.1	4034269	4034793	-	525	117	175	87	140	106	124	132	101	115	152	92	141	139	126
BW25113_RS20010	NZ_CP009273.1	4034778	4035359	-	582	294	423	244	297	290	330	462	373	416	780	370	563	394	410
BW25113_RS20015	NZ_CP009273.1	4035429	4035695	+	267	479	626	383	511	461	659	536	447	492	611	499	704	534	512
BW25113_RS20020	NZ_CP009273.1	4035775	4036758	+	984	1835	2568	1629	2218	1689	2318	1521	1238	1414	2391	1384	1585	1742	1781
BW25113_RS20025	NZ_CP009273.1	4036778	4037401	+	624	2916	3827	2399	3485	2643	3723	2031	1987	2155	4127	2396	2315	2480	2557
BW25113_RS20030	NZ_CP009273.1	4037559	4038986	+	1428	96	134	83	110	102	101	64	30	42	71	43	44	79	84
BW25113_RS20035	NZ_CP009273.1	4039033	4039962	-	930	262	314	214	258	218	224	62	45	48	62	32	41	200	159
BW25113_RS20045	NZ_CP009273.1	4040326	4043109	+	2784	4758	6887	4169	5506	4591	6204	7985	6972	6762	11991	7108	10813	5371	5159
BW25113_RS20050	NZ_CP009273.1	4043496	4044125	-	630	1517	2158	1303	1848	1416	2113	1298	1163	1203	2236	1264	1502	1554	1506
BW25113_RS26265	NZ_CP009273.1	4044360	4044585	+	226	996	1339	683	846	538	759	2055	1995	2018	2954	1925	2411	3053	3347
BW25113_RS20055	NZ_CP009273.1	4044707	4045213	+	507	1145	1901	1077	1604	1149	1537	938	929	926	1705	898	978	1433	1355
BW25113_RS20060	NZ_CP009273.1	4045405	4046775	+	1371	2596	3773	2279	3134	2603	3192	2281	2062	2285	4011	2152	2422	2962	2837
BW25113_RS20065	NZ_CP009273.1	4047010	4047117	-	108	643	1016	533	911	620	867	352	425	438	821	350	336	1907	1818
BW25113_RS20070	NZ_CP009273.1	4047232	4048638	-	1407	3310	4290	2776	3922	3084	4223	717	452	537	2240	620	433	1520	1429
BW25113_RS20075	NZ_CP009273.1	4048653	4049699	-	1047	3594	5088	3067	4242	3656	4993	531	420	456	1381	424	335	1400	1255
BW25113_RS20080	NZ_CP009273.1	4049988	4051394	-	1407	44329	59647	37064	52452	41374	62905	6964	4177	4772	14018	5977	3448	16566	16354
BW25113_RS20090	NZ_CP009273.1	4051767	4053587	+	1821	36496	55203	35143	48244	38780	49992	10063	7469	10428	24962	10610	3749	18627	18548
BW25113_RS20095	NZ_CP009273.1	4053807	4054514	+	708	134	216	130	192	138	203	822	756	771	1621	739	752	229	194
BW25113_RS20100	NZ_CP009273.1	4054525	4055502	+	978	129	217	108	182	144	179	1766	1665	1506	2984	1660	1739	295	197
BW25113_RS20105	NZ_CP009273.1	4055607	4056869	+	1263	51	67	39	59	30	51	1160	1135	1024	1636	1181	1243	111	87
BW25113_RS20110	NZ_CP009273.1	4056966	4057655	-	690	0	14	1	9	3	4	30	21	14	29	15	11	14	5
BW25113_RS20115	NZ_CP009273.1	4057726	4059126	-	1401	14	26	9	17	14	19	13	12	21	26	11	20	46	37
BW25113_RS20120	NZ_CP009273.1	4059172	4060554	-	1383	51	68	34	50	32	58	44	39	36	76	28	53	57	66
BW25113_RS20125	NZ_CP009273.1	4060603	4062636	-	2034	36	60	18	33	36	31	42	37	37	62	39	58	48	52
BW25113_RS20130	NZ_CP009273.1	4062838	4063737	-	900	12	21	7	16	11	6	18	17	19	22	7	39	28	19
BW25113_RS20135	NZ_CP009273.1	4063878	4065116	-	1239	91	126	45	72	70	93	197	158	187	238	108	309	163	157
BW25113_RS20140	NZ_CP009273.1	4065136	4066011	-	876	36	53	31	50	28	46	130	138	119	188	114	217	75	74
BW25113_RS20145	NZ_CP009273.1	4066038	4066931	-	894	13	21	17	19	16	22	83	57	87	117	51	129	65	66
BW25113_RS20150	NZ_CP009273.1	4067099	4067992	+	894	36	60	23	63	33	70	149	140	118	176	105	197	101	90
BW25113_RS20155	NZ_CP009273.1	4068029	4068811	+	783	422	577	375	504	350	583	2030	1803	1967	3820	2032	2177	868	828
BW25113_RS20160	NZ_CP009273.1	4068913	4069509	+	597	453	551	373	519	364	543	1852	1613	1594	2694	1418	2326	915	857
BW25113_RS20165	NZ_CP009273.1	4069506	4070375	+	870	486	640	381	444	416	537	1422	1271	1162	1934	1137	1735	733	740
BW25113_RS20170	NZ_CP009273.1	4070375	4070809	+	435	612	735	440	581	476	634	1104	842	1019	1180	775	1399	912	967
BW25113_RS20175	NZ_CP009273.1	4070857	4071795	+	939	1026	1343	889	1073	925	1164	1853	1569	1654	2231	1428	2531	1703	1738
BW25113_RS26270	NZ_CP009273.1	4072209	4072271	+	63	0	3	0	6	4	0	0	1	3	0	0	2	4	0
BW25113_RS20180	NZ_CP009273.1	4072651	4072866	+	216	4	1	0	4	3	7	1	6	5	4	6	9	4	8
BW25113_RS20185	NZ_CP009273.1	4073087	4073326	+	240	32	37	30	41	20	36	52	38	46	57	35	75	69	63
BW25113_RS20195	NZ_CP009273.1	4073662	4074588	-	927	1438	1998	1187	1707	1293	1637	2580	2150	2333	4025	2232	3490	2542	2562
BW25113_RS20200	NZ_CP009273.1	4074588	4075220	-	633	121	182	147	185	186	217	764	808	681	826	351	1987	2758	2624
BW25113_RS20205	NZ_CP009273.1	4075220	4076119	-	900	152	200	139	192	184	203	1234	1179	927	1139	542	2981	3599	3272
BW25113_RS20210	NZ_CP009273.1	4076135	4079182	-	3048	1158	1234	1046	1354	1249	1361	11594	10689	9679	11364	8860	25320	22849	21163
BW25113_RS20220	NZ_CP009273.1	4079376	4080206	+	831	483	857	394	690	491	701	591	552	584	960	532	725	988	953
BW25113_RS20225	NZ_CP009273.1	4080362	4081414	+	1053	51	82	50	82	44	56	47	33	50	55	45	56	81	73
BW25113_RS20230	NZ_CP009273.1	4081470	4083215	-	1746	37	51	26	43	33	55	31	44	47	77	21	43	54	54
BW25113_RS20235	NZ_CP009273.1	4083218	4084285	-	1068	44	82	34	51	39	61	60	45	39	74	35	60	70	90
BW25113_RS20240	NZ_CP009273.1	4084278	4085726	-	1449	32	27	24	26	23	34	33	30	29	54	31	66	37	39
BW25113_RS20245	NZ_CP009273.1	4085740	4086183	-	444	2	4	3	2	10	11	6	5	5	5	0	9	3	2
BW25113_RS20250	NZ_CP009273.1	4086487	4086798	-	312	0	4	3	1	2	2	5	8	10	8	7	3	9	12
BW25113_RS20255	NZ_CP009273.1	4086811	4087350	-	540	1	2	7	9	4	7	4	3	4	7	2	5	13	19
BW25113_RS20265	NZ_CP009273.1	4087664	4088497	+	834	42	41	19	19	20	33	70	60	51	107	61	62	76	76
BW25113_RS20270	NZ_CP009273.1	4088574	4089419	+	846	50	72	40	53	29	57	383	329	409	627	384	487	148	142
BW25113_RS20275	NZ_CP009273.1	4089422	4090453	-	1032	22	59	33	50	27	33	61	56	67	121	50	79	74	71
BW25113_RS20280	NZ_CP009273.1	4090738	4091355	+	618	142	157	99	166	125	137	242	269	202	476	151	200	717	725
BW25113_RS20290	NZ_CP009273.1	4091618	4092598	+	981	61	88	52	72	51	52	203	257	154	308	197	331	98	92
BW25113_RS20295	NZ_CP009273.1	4092750	4093421	+	672	538	825	406	630	510	654	771	736	691	1360	776	984	861	780
BW25113_RS20300	NZ_CP009273.1	4093533	4094903	-	1371	2091	3154	1780	2615	1818	2526	2253	2325	2403	5137	2260	3044	2652	2554
BW25113_RS20305	NZ_CP009273.1	4094903	4095598	-	696	1542	2231	1311	1697	1278	1750	1823	1722	1729	3144	1681	2358	1762	1669
BW25113_RS20310	NZ_CP009273.1	4095748	4096245	+	498	235	381	211	287	213	272	223	282	241	302	244	317	485	381
BW25113_RS20315	NZ_CP009273.1	4096397	4097296	+	900	1184	1744	996	1476	1117	1500	1010	984	983	1558	950	1163	1663	1579
BW25113_RS20320	NZ_CP009273.1	4097480	4098439	+	960	21815	33510	17626	26320	20955	31766	23129	23677	20726	50031	23832	31654	25935	24513
BW25113_RS20325	NZ_CP009273.1	4098762	4099748	+	987	136	202	116	180	101	207	93	76	79	158	81	83	143	151
BW25113_RS20330	NZ_CP009273.1	4099858	4100610	+	753	505	858	485	643	462	654	217	210	224	388	150	198	379	341
BW25113_RS20335	NZ_CP009273.1	4100671	4101435	-	765	32837	45735	27097	36276	28910	42208	35744	31138	33634	57884	36897	47587	27566	27680
BW25113_RS20340	NZ_CP009273.1	4101546	4102142	-	597	596	771	498	675	551	695	594	512	570	877	586	678	657	595
BW25113_RS20345	NZ_CP009273.1	4102243	4102680	+	438	231	339	209	295	212	314	191	170	207	282	183	268	335	278
BW25113_RS20350	NZ_CP009273.1	4102895	4103191	+	297	403	559	252	310	278	351	854	885	805	1004	682	1354	1411	1326
BW25113_RS20355	NZ_CP009273.1	4103221	4103646	+	426	884	1034	562	739	616	722	1840	1902	1641	2324	1499	2890	3464	3063
